Donald Trump Announces South Carolina Campaign Leadership Team - C-SPAN,Donald Trump Announces South Carolina Campaign Leadership Team  C-SPAN,https://news.google.com/rss/articles/CBMitAFBVV95cUxOaGQ3UkNFcWxteUQ5bUkxWGZZTGtxZ3ozempuZmsySENyc0pXQklQRHZqSDRjRFJHT2VDV1A1YWwtWWlTVFd0dWJDamFhU2ozV3BwRkVWTGgxMjhTTGV2a0RQMU50dkFzVTJVejA0d2dZdXJuUTVYQ3hoOXFxMTAxeVJhOW9VZGJGM2Nta29oVzFHTVRDS004ZEg3SENwQUdPbXBkN3d1MERWclhiQjJMWG9wN0w?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 28 Jan 2023 08:00:00 GMT","{'href': 'https://www.c-span.org', 'title': 'C-SPAN'}"
Donald Trump’s New York - Commonweal Magazine,Donald Trump’s New York  Commonweal Magazine,https://news.google.com/rss/articles/CBMiaEFVX3lxTE93M2hZNXBxMmM3aTJiN3NPLWV2V2dCT0ZHR3dSM1ZScXpRRzBLUlBra3FzWUNOTUxOWkg0anI2VW1CVzktRkp3czAxekZ6Zmh1SHZPTWllQWtKQkx3d2M0QXRHWXVWZjJo?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 20 Feb 2023 08:00:00 GMT","{'href': 'https://www.commonwealmagazine.org', 'title': 'Commonweal Magazine'}"
"These Voters Fret Biden's Age, Just Not Enough To Pick Trump - NPR","These Voters Fret Biden's Age, Just Not Enough To Pick Trump  NPR",https://news.google.com/rss/articles/CBMiogFBVV95cUxONVliVUNtcE5kelJJZlM2M01xejRtT0x3YVNkMVp5azJ0Z1Y3U1lSYWRTSXRPalF4UTR1a3dJUVY5SmFlMlRwcFZSNW9fdnVvaXhVUm9lY1BsQWE1TU5kdVA1ZVhSdUNMVnVFRjR6Vk9VdGFid0Q3V3FQVUZUZXRGYlM3QXhjU21fcV8zb1VfaEJpakZkMWpBejdnbWxuOFNtNUE?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 17 Feb 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Chinese spy balloons under Trump not discovered until after Biden took office - CNN,Chinese spy balloons under Trump not discovered until after Biden took office  CNN,https://news.google.com/rss/articles/CBMilwFBVV95cUxNYkp3Q2ZBbC1aYU9MM0NDeGw3VFNiSVVkckZHVzFwWVdXR2NWdFJkckFCcm54OHFSbUxwbmZKX2hKVHZDMkduZlNoa3IxTDRDSkNvazZqNGZFNGNRdEZIVmFrUFpNYnZuLWhZaTdjZkVQWlpDeTV5TS1ndTRNYmVMemoxcTgxU21KVDJ2b1d1MHlQUldTTGZB0gGOAUFVX3lxTE9qX01BVXhULWphMmJ6S00xenRYVVVnUjluVS1xUUROaEV2OG1Pb1U3WHB5YnU0aXhBZVJHQ0Z4ZTlSX2dfZjBHVVc2cG1OWTRWMWZJaExsX294UzJWZUtmdFJuNENDX3dEcmxUWFNWeXlvQnVCenZRNmpsSmJCZERFZmVvRzNOWW9LeVJoWVE?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 06 Feb 2023 08:00:00 GMT","{'href': 'https://www.cnn.com', 'title': 'CNN'}"
Manhattan DA presenting evidence in Trump-Stormy Daniels investigation to grand jury - NPR,Manhattan DA presenting evidence in Trump-Stormy Daniels investigation to grand jury  NPR,https://news.google.com/rss/articles/CBMivwFBVV95cUxQWGhnbkIxeW1JUkhCOXlrX05MUm5tZ0dwQWhwXzhZMk5xSWdVOEtUcC1ReS04V2VnTVZrZFoyWXgtMnRCNGM5cTlpX1h6bmNVd0xxdWpzN3JhQVhIWDNSSENnSThmUUYtano5LWhVaEUydXY1TXlmT3lDTVFQSEVFTmdLdGtrblkyX0hBVTJidFZLb1RJYlc2THZxSGpncDRmRHZCeDFMbjEzbVZGZEJMeG9PUVY4NDZJWlVPTGw1VQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 30 Jan 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Judge to Trump: Too late to offer DNA to rebut rape claim - AP News,Judge to Trump: Too late to offer DNA to rebut rape claim  AP News,https://news.google.com/rss/articles/CBMiugFBVV95cUxNc00xTHgtbVJzc3FObWFvaGVGY0tmdWVNU2RHaV9FWHJSXzBnckR3QWpXX2F2OEFLdy1MWGZWRElub0VZY1pHenRXYkE1V0tkMnNQUzcxYUdUTmNhUDQtakczeWRXaHBoSkJEMFJrQmRtYzZGNTJlNUE1LWJIY19fRHRvZGZyZk1lcUs1TXhFUmY3WVZxMmJYV1BBSEdQN1NNZmdlakJyOW9wLThYYmZTWjFRaGF3ZjN0eWc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 15 Feb 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Koch-backed group plans to help Trump's GOP rivals in 2024 - CBS News,Koch-backed group plans to help Trump's GOP rivals in 2024  CBS News,https://news.google.com/rss/articles/CBMipgFBVV95cUxPV0JheWVmYVp4TmlIX3daYjF3VkZaTDFhQnl3aUxWQjl5a0VMbXRBamJlOEt1S1piZTVjakNPby11bFp1NWVUVVg1TGZzc1V3Q2JaWU13TkJtb0FLNVJJdTVTMzhHeENBcmlzS280WXZWWk1RYkJqU3dKbXEtcTFVamFqLXFkT05CclpXczNnZ2NfNjRiVUVDYzUtZm5YX015d25wN2NB0gGrAUFVX3lxTE9SNkhpMkZVNFVpaFRZUXNlMGxvNkw5RkZLSHVfaGl3bFZFNGczd3NZclVUSXptMjJxRFZpWkdmcHFSR19rVEdJVVI2RUpTUnREcm8wYUxnQmdQdjVGR2pndVctV2ZSdGtWeFJ2R291RVlhVFkwOFh2SXRCVGlJTkRGSmNRM2R0TmV5LVRkcThEb05CcmI2UXMyOUs2T0tRWkN2bjJCVF9oXzhLYw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 06 Feb 2023 08:00:00 GMT","{'href': 'https://www.cbsnews.com', 'title': 'CBS News'}"
"Appeals court rules Trump must pay $110,000 fine for contempt - CBS News","Appeals court rules Trump must pay $110,000 fine for contempt  CBS News",https://news.google.com/rss/articles/CBMikwFBVV95cUxObmNpd0ItSU9DbUlrclJDZU5nTm9wWEZoYzRranlyc1Nha3Z6czVMakZSTTVsM1h3cEVwdU0yVDFvdm9PMFc2TG5nbDBvTXk2U3hWLVhtbWJyU2Q4LTdpN2paRmtTOG0xWlltVER6MVZjRDNBa2VvR0psYmh3Qm4xeUZ2Y1Y3TkdXZ29OdmZQWF9QRnfSAZgBQVVfeXFMTlFjemZ5U3B4UE9tdmo1YXJHT3FndU9kaGRoR1B6VmJxcktEOHhfbTNlMmctNFRsN1pmUmhFcUVueWxlUTFIR01iZlNHRzRjNERHN1piRURxcWVwdFJ0M1MxR0t3bnVDWEptWTVhR2cxNU1BMzZIQlZrVHpxcU9kdzdtcXhod205YzVVNlJLaTVyVkRFSldQeVk?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 14 Feb 2023 08:00:00 GMT","{'href': 'https://www.cbsnews.com', 'title': 'CBS News'}"
"After Attacking Mail-in Voting for Years, Trump Now Supports Drop Boxes - Democracy Docket","After Attacking Mail-in Voting for Years, Trump Now Supports Drop Boxes  Democracy Docket",https://news.google.com/rss/articles/CBMitgFBVV95cUxPVWhKQ2Z6Q25TRXprUUM0QmVhWEtaeXprc3dKRUlUYklnNlZtWG1kbFkwM2NtS3ZHaUl1aUxSWnEtSTFCVWdaOFNGX3E5ZjNRYjNXdjBsbGtScm11NHMwd3l0dHVwMVQtcFhfYTB3eDdzVk9fc2RaNjdYTnFWUmxfQk9OQ19sbE5iaGdWSHJmd3d1Qmc0WjhnV1pIcFd6NVdSQXo5OEYxdmRRUWR3eThWVDkzMlFPQQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 03 Feb 2023 08:00:00 GMT","{'href': 'https://www.democracydocket.com', 'title': 'Democracy Docket'}"
"Donald Trump sues Bob Woodward, claims journalist's audiobook violates copyright - CBS News","Donald Trump sues Bob Woodward, claims journalist's audiobook violates copyright  CBS News",https://news.google.com/rss/articles/CBMijgFBVV95cUxPVW1uOXRFQUZxSVZGcUFvVkhMZ2tuc1Q1QTZzOVh6SXdKYkdnTFNHaWtSNnNxTy0yUlVnVlJHLWJWb3NsRzFFSXAzMVhUN1ZZS0FIMTVYVXdjY202VHp5WjVYd2pka3pLTVZwWDFuSnRwdXkwUjh4VndJenl1bkhzRjliZjFfcE9XVFg0V2xn0gGTAUFVX3lxTFBaQWxaLVI4VlpmSGdpclNqTl9Qb2VvLUNMNTgzbVdyUDE2N2lvU3k1c2NpX1RQTGRKZXFvVUt1bFJQS0cxbmF0cGZuMmFkZzVSNUhtajR6UUN5VjFCRzNuODdyZG1USTFsVGZRWWp5VGpyODdLVVJrYnk3UVByQVo5bXhwS1lmNW93V2VsUU81XzdLRQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 31 Jan 2023 08:00:00 GMT","{'href': 'https://www.cbsnews.com', 'title': 'CBS News'}"
Ex-prosecutor’s new book details fight over indicting Trump - AP News,Ex-prosecutor’s new book details fight over indicting Trump  AP News,https://news.google.com/rss/articles/CBMisgFBVV95cUxPOWI3LU0tV2FSaEpVOFd2czhtVXhJNnJTQmYtRFlCSUhCRFpBdzRBMTlVSGsyN3NRTHM3VnBldTM2dHhqdVBJN01MajhiZldSeWx6N2h1MVgtUWlJTDhnaGo5ZGlmZHFTZnJtbjhrUExDRy1TZWtwcS1qSGF2YnFpb29oaU9xS2hQLXR6eEMwbC1yaGU4MTFRbURmWEVLcVJsU1ZCdUVDOUVUZVMzRmR5dWZB?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 03 Feb 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Trump’s ‘24 game plan: Be the dove among the hawks - Politico,Trump’s ‘24 game plan: Be the dove among the hawks  Politico,https://news.google.com/rss/articles/CBMiigFBVV95cUxOdlF5Q2QwakxfYjk5UzVYajJBSnV1OEJra0wtb1VnLW5sREpMZl9EdXV6Ql9zaHRyRXR1Zk1IcVZJUFMtY1lienZTajJka19TZTFzTE1pZ3J2dWtVNUgtRUxDTUw4dzJTNUpoSmRLaF9SbnBCV05PT0R4MW53c2tCZlhFY1YySDh3REE?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 06 Feb 2023 08:00:00 GMT","{'href': 'https://www.politico.com', 'title': 'Politico'}"
Exclusive: Rep. Harriet Hageman Endorses Donald Trump for President in 2024 - Congresswoman Harriet Hageman (.gov),Exclusive: Rep. Harriet Hageman Endorses Donald Trump for President in 2024  Congresswoman Harriet Hageman (.gov),https://news.google.com/rss/articles/CBMirgFBVV95cUxNSU1KdWwxbjAwRzA5WEc3d21XekQ0cTIyMmVkTXlJcGNNRTc1bjFMSFktcUtkYUNwbloxVHQwaFItUjVlcGZmUG81ang0MkpmSV83VUQ4ZjdwVDNKZlRnSjQxdHB2NFBuWnI4dDdVMGJzTzNvZUtxcVJSMzdHRU5COC1RcmlmQ3hfNHJtUkt6RlNNQkF2a3hUVDc1SmNlMHJSdmU3ajhaNmNObnluQ1E?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 15 Feb 2023 08:00:00 GMT","{'href': 'http://hageman.house.gov', 'title': 'Congresswoman Harriet Hageman (.gov)'}"
Web Video: Inside the rise in executions during Trump's final months - PBS,Web Video: Inside the rise in executions during Trump's final months  PBS,https://news.google.com/rss/articles/CBMirwFBVV95cUxPR19rY3FDT21mMkh0MHUtRllRS1FseE9iRkxCRlp6Y2E1SnpHdDRnWEFmSV9YeG9Sb29VZGFQczhmMVRqdXdCaWpOOWc0V0wzdGNHZHc3Yjc4ZjZWRVZhc2NDOEpFTGZyemtuZXM5ZjVmUHdFWjNRNFJMRG1oYTNSMFo1OVJxaTlKR0JPaHpldVFCTFZyZnlSNTVZYnI0aFhmSUtRX3ZYVmlTM0VIS1ZZ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 02 Feb 2023 08:00:00 GMT","{'href': 'https://www.pbs.org', 'title': 'PBS'}"
Donald Trump assails Rupert Murdoch over defamation testimony - BBC,Donald Trump assails Rupert Murdoch over defamation testimony  BBC,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5qU0tPS3JBRW1lb2p0SEJWUmM0X0k0SzdDai1DMHYySFlpbTA1Z1NzdFJ3VXNLWFZaU3pRVVhNbUJQeGhma1hBSHllY1ZXc2Z3T3pFYXE2RU5pYUx6T2fSAWNBVV95cUxPV3BYeGN3MWJTNW9WMUI1aUYyN2syTGp2SjA3elJoYnU5R3Q5RVNxN1BabDhlN2dlWDN5ZjZlZ3g3UXI3OFVSRDJtMkhjUm53VTBiNDdlRDlXZW5Eb01KRkd2bUE?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 28 Feb 2023 08:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Facebook was a cash cow for Trump. It could end up being a ‘bronze goose.’ - Politico,Facebook was a cash cow for Trump. It could end up being a ‘bronze goose.’  Politico,https://news.google.com/rss/articles/CBMid0FVX3lxTFAtNGN3bjBpd1o3QzgzWTVmRDl3ajc0ZUtzTWtlVG1wY0dBbXV1eTV6YU96dkU5VzB6dmZoYk5BTDlHTDF6cVpFd2paMlZhdjZEdHNFVldhVmREZ0M2UVBhMXo5Q0Z5cDVTNHZ5QnhpOS1RbU1lbi04?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 27 Jan 2023 08:00:00 GMT","{'href': 'https://www.politico.com', 'title': 'Politico'}"
Eyes on 2024: A granite cold reception for Trump? - NBC News,Eyes on 2024: A granite cold reception for Trump?  NBC News,https://news.google.com/rss/articles/CBMipwFBVV95cUxNU0lSNUc3Z0d5Q2gxZU13TlJ1REdfYUZlX3pBcHpKV3pGcU5BVzNZQXJ3SGhvNEt0aVhwRHZYMFpRaVhPaUgyc0RadHJXbkQ5dkdCczlfRnBoMlRQU19BUlJQQjBFYVZtZVZ1cFJEV3J6MFZuU3NtWHNLSWdmZXVGNU85VVhQNzJ6akVnUFJWUE9GSGtOb3dEaHQxUlBhQzlrazd6dS1ZSdIBdEFVX3lxTE1SU2RQb3NndXRPQUY2alJzMzBPc2JHZ2pYd2JRY0VOTGhpNldieDlWX1hFaDg3TkVUZ1Fwd1FTVzQ0NDJuMkU0VVFtR0EtRm9Va01CaVVSdTNFUUFwSFF2TWYyMWVCS2ZsNld2SXh5Mlo4X2Vv?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 27 Jan 2023 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
"Off the air, Fox News stars blasted the election fraud claims they peddled - NPR","Off the air, Fox News stars blasted the election fraud claims they peddled  NPR",https://news.google.com/rss/articles/CBMikwFBVV95cUxQZV9pZzBmQWNCS2YtdExvNHJ3MjVoWVRXaWNlTElITlhzNUtkaWZRLVJuMVBjbHh4UGNVYkhhWG92V3FQVnlZQnFfczdMZzA1WEZoY3ZzRmpCbXNOX2JtOERKWW04UW5oYTFWUlFjMWIxNHNvNU1JTVBiRlQ5M2ZVYUc0VmZtUnF6UmFYd0FxLXMwZmc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 16 Feb 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump heads to Ohio as Biden critics assail wreck response - E&E News by POLITICO,Trump heads to Ohio as Biden critics assail wreck response  E&E News by POLITICO,https://news.google.com/rss/articles/CBMilgFBVV95cUxPd3ozXzVPU1FvbzY4djZuVVd1Nk9jUGFFQ1lUeGhsYkRFSmR0UDZ1aGhzeWs3YjdmNGxuR0thQTZhNnN2UlhHZFdpQmNtZnpCMlUtVG5PRURMY1hlZy1JVFJIUmpTbXBzQ0FJdjZBYnBiWnAyWVNLcEt0WXFXQmVkeVllWHFIUV81R3pIOVNJSWlEaDdNQXc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 21 Feb 2023 08:00:00 GMT","{'href': 'https://www.eenews.net', 'title': 'E&E News by POLITICO'}"
Biden blames inflation on Trump administration: 'It was already there when I got here' - WPDE,Biden blames inflation on Trump administration: 'It was already there when I got here'  WPDE,https://news.google.com/rss/articles/CBMiugFBVV95cUxOMFJDUWpBSlU1RXh4MldTbm10Y0ljV2xhc3pINUI2TDRUM2FOaF9oejJSdXZLZnNXRkk3djItLXppWWxuQ2c1VVV0YzhUMm9DYWNZLTNfZzZvWHZjX05sTlFZR2VXcDItNG9WMENQMkpGaEE2NzlycGNJLXJ1akVOVjd5UlV2TW5nc2F4eUtJa09FbHNnTHAtWDRrQXI5MnFaNEpSMTR0M1lzS3NhTUZrU2phdjhEUl9yM3fSAb8BQVVfeXFMT2d3TFBQckpBblhNdEU3RF9qTlhEZHN1TklxTjFLdjQzNVBvS2FhaTZuVndkZHc0NmN3NGs3NkdJa0lxWXRHOVJTZ3V3UFdXWmZaV3ZPcXZfeE9PME55V1hIaFl5TmlKT0ZjcUtUdG5zdW5iUTlndm8xamk0RmgtekZteVQxZERYa3VyZloyRXQyeWtPWE01dHU1RkJfa2o5cDlWQVI1NnAxS0VxaUpnbjZDcmwxTzBJNU1QdU5mSFk?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 03 Feb 2023 08:00:00 GMT","{'href': 'https://wpde.com', 'title': 'WPDE'}"
Republicans reelect Trump-backed McDaniel as party chairperson - Reuters,Republicans reelect Trump-backed McDaniel as party chairperson  Reuters,https://news.google.com/rss/articles/CBMisAFBVV95cUxPSjR4VXJqMWJIZ052MGozeFNqak0tOU9oYldyZ1h2TGx4bEhhcHB4MG5SOU9hNVZBUHY3THZnUTZoeXV1NkgzM0E2N2ZMOUFoYzRrZWZmME5LbEVCc3N2QXVqZkRNb09GZ0hUYkYxNjQyUnlydnlGS2ZETGZjN2E5MVdsYmJ2QXd4enNXajRmQXdTNE1uT1NzX0NVak9RNWZta0F6eVlCbWNIS3pyZ1VXNQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 27 Jan 2023 08:00:00 GMT","{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
"California support for Biden rising, while GOP turning from Trump, IGS Poll finds - Berkeley News","California support for Biden rising, while GOP turning from Trump, IGS Poll finds  Berkeley News",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPd2NLUVBXVHNRQ1lfTGFnRmt0N0JaYndWUDRtVENhNlA4NmIxUDQtU1M1aXpmQmpMWUZaN191Q0VGRk44SzVoYWFSXzZKVEcxcnZmSnExYTAtb3l4ck5BV0NKVDY3NUVtZHpYV2tUcjBLRXRaMm5DSjVGdWtqZzdHNVIzOWlrelNUWHBRNW9YME5IQlFHMTI4dG9paHhJX3dXR2NDV2hsUXJHczZXZ29wbzJ0NHExc0s3?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 24 Feb 2023 08:00:00 GMT","{'href': 'https://news.berkeley.edu', 'title': 'Berkeley News'}"
Trump picks up his fifth Senate endorsement - NBC News,Trump picks up his fifth Senate endorsement  NBC News,https://news.google.com/rss/articles/CBMipAFBVV95cUxNeThnTm9NNDFxT09BZjdEQWRmeTlFNk0xSHg4VXVFYkxHMTkxbUlaUFZ1d24zN0l2RzlJRnAzWnpYSnU3MUZvNUVtZVZZQmpkUm9SN1FyLVc5VDZ1NmhGaDlYSXJwX2ptWWFCeW42WjFXOFpfMU9XYW1pYzhsN2IwWkFWRWlXWHc0My0xMTVUSUN1aVdmZUVVaGFjX1ZmZTVLNzhjatIBdEFVX3lxTE5qOS05LUZnQWRlemxuRFdwMExVS0JhQ1ZWTVJuWURVMkQyM0ZnVjVuYTh0dGo0QjJMX2o5bFhMVmFjVUdTTU82am4tVVYyeEpITXhBVTMwNVppOE42dHk1XzRxeDE2NzhfeV9sYngycTJPbDl0?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 10 Feb 2023 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
Trump splits with ally McCarthy over Ashli Babbitt shooting on Jan. 6 - NBC News,Trump splits with ally McCarthy over Ashli Babbitt shooting on Jan. 6  NBC News,https://news.google.com/rss/articles/CBMisAFBVV95cUxNdFRqR1BQOWlrRkM4bnZJeVhOM3c0SjRrY1JKUUV2bUtYZWVGU3RieWNaZlNraXlPVmFTS2g0WVdNUC1nSzV2S0c5TEczakF2QmRGMEQ4TU1RYXVKTU80emRjWjdwNm1Hb2NZbWtENFZtSHBiWHZXSG5OdjJMY1FPMm5xTnpINVQwZlc0S0Fhc0daMnpyRTJiUGNIQUx3NTZwMHNSTm9RWEhVSGhwTzFwZNIBVEFVX3lxTE5iNTh4b2dDYm5SS185cGl2aFJVX2FMWHh6RHhTQUN5MlJFYkZ1YWMxRjlQX00wSV9vRlVEeHgyYXo2UVNIVWxwQ0tYOTVISDZRVFJJSA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 03 Feb 2023 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
"Trump Visits East Palestine, Seeking to Draw Contrast With Biden (Published 2023) - The New York Times","Trump Visits East Palestine, Seeking to Draw Contrast With Biden (Published 2023)  The New York Times",https://news.google.com/rss/articles/CBMiiwFBVV95cUxOMW92eDhTb3pSRFo2WUxqSUE3WGxBNEVuZVEzMTAyWXdGNFRuckZ0UVZCNHhpX0l1bDQ4aEhlVVdJZTZvNG40YTNCVzZyNk9IUEM1dHVselFJOXlVNll4QkREQWZiREdnZTlZYVN2VVBMNXF0LURpMnp4bGtWOTZSU2xyd01abWg5UFFn?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 22 Feb 2023 08:00:00 GMT","{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
Pence subpoenaed by special counsel probing Trump - AP News,Pence subpoenaed by special counsel probing Trump  AP News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQeGJhT0ZES1dGQjhqUVBsdUlKVDdNZlYxYjNqUE9RUG1fRnpjbVozTDNEREhoRzZ5U3NQY0ZuOTdMM0poNnotRVJYLXB0SElyWTE4YUFRYzNab2hSWUdNeEJvVkxaRDhWV0hNd1BCc2tMYzJrTW9kU3J4bUdiMjNPRXBwSVFvZ1Zqc3FWSWFCanY3WjI0ZVBVbWNLTHZZMGpKd3NpRU1PY3E?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 10 Feb 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Foreperson on Georgia grand jury investigating Trump and 2020 election: ‘I don’t think you will be shocked’ by indictments - CNN,Foreperson on Georgia grand jury investigating Trump and 2020 election: ‘I don’t think you will be shocked’ by indictments  CNN,https://news.google.com/rss/articles/CBMingFBVV95cUxNY3JMUUFnZ1JRREctckcwaFdHd3hOdU92eU80TUJVRnNCb3dZdzBXYzN3R2Q5Z3ZVTFVheXVLamxHeVl1OVlCaHFSQ3c1SzFXUDJFYjZEaE5tRUEtdEQwcGswQ05sVktnNkMtLUpkT1B1dmdNeEtOLURacXlDeDBZb205cUdhQnZKSUdSRzdoY0dlRTB6QVNlNE1iYUZCUdIBlAFBVV95cUxPLW04RzFRc2E4NFJlZUx4NXQ5SmJ2Wm4xd2NQVnpoTFdRdmZkVUhBbDhFa0t3RG1ZT1FJRWhEemFiZzlBcWNwa0ZYTlFSN2V4ckVXTHB4a0NUOVZtMnBIa1ppSWMwTFJCZlBvSnh5S196eUpwV1BITFo2dFh1d3NGaWpYbnItcE1MbFZySXN3UEhSeG1o?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 22 Feb 2023 08:00:00 GMT","{'href': 'https://www.cnn.com', 'title': 'CNN'}"
Trump Courses Will Host Three Tournaments for Saudi-Backed LIV Golf (Published 2023) - The New York Times,Trump Courses Will Host Three Tournaments for Saudi-Backed LIV Golf (Published 2023)  The New York Times,https://news.google.com/rss/articles/CBMiekFVX3lxTFBvbFpkZUE0UzIxU1NzRDE4ZE96NjRPY01fempkRW5EUnVPNnhjOEU4Q3VTSk92WmtfOHQ4MG5DRjlnQWVpQThHWlhBcDFlblZ5VlhINjh1VzNxNFNLa2U1T1FFWlBQc3B0ZzFvZ2NLa2dLMHZHdnNpclRB?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 30 Jan 2023 08:00:00 GMT","{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
Trump was issued subpoena for folder marked ‘Classified Evening Briefing’ discovered at Mar-a-Lago - The Guardian,Trump was issued subpoena for folder marked ‘Classified Evening Briefing’ discovered at Mar-a-Lago  The Guardian,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQNVB4ZmpVcHRJNXVNMEV2enlMb1huR3FQYWVLLTZVdXJ1bUo3TlR3a1JMRkxhT2hfUW1uYjRva0NRSzhOOThUalpuWk02S0Zlc2xaaEVnWTBwRlNMN3pWMU9tX2g1U0UyeVc4QjV4OVNnWGMwaUNDSkQ4MUQtSVVud3U1TFZPS214RHRON2ZGbG55M2lYN1Nmc1VGRW03SE5kbWxLV3VzTEFNdE1HalZDR2ExeDNOVC03bjhMbEhOTGQ5cTlyWnZkelYwY042RjFBbVVlUHNpZzc2cW1u?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 11 Feb 2023 08:00:00 GMT","{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}"
"Trump calls for certifying 'patriotic' teachers, cutting funds to schools teaching CRT - NBC News","Trump calls for certifying 'patriotic' teachers, cutting funds to schools teaching CRT  NBC News",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPcEpzbWo4YWN1aXRTZzQyR0lqRU9DRHBFb1BJa0ZGYXYtM2hINXZBV3ZCSXE0SlpvLXFWSTJpRWlkTnlVN3c1SlBVRHc3Nl8xVFNrNUdEY3VKLXhfLXZzQUdBckZEdkNSNjZmaThkdG9haW5VRXVrYi1reDZBc0VxZG1qWDhVZS1ObzZIQ0VsT0Rqc3AxSHI0NDBXMnJ5SUo3QXBVcnFGZkZVMkljOWpCLXRVQ0FSVENueEJEdDBfRm5QSXFhSlA5eTJsQjBoWkZ3YkHSAXRBVV95cUxPdWlyc1VCRXNsOEthejgtWmhxVlByTnFFUmt3Y3VNTktrQmhUc1AzN0tZMlNMdTlVejJnNnd6ejBpcG1mLU1FeWpjX2dFUC1qX2VSX1NQUm1DUjQzb21mcTMxT0VXcmF3RnA2WDM3NnhqdXlkYw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 27 Jan 2023 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
"National Enquirer, caught in ‘catch-and-kill’ scandal, sold - AP News","National Enquirer, caught in ‘catch-and-kill’ scandal, sold  AP News",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNS3E3OWtRNmRfZEVOX3ZYS2h1cTIzekVvYlBCdlU5OTFLbmY0ODJSUngyYk1rUVo2NjREN0pOek9TenRJOXFKektmblVvTk4zanl4cDN5X2V6RFllcWd0ZUZLRkM4cjNSQUZldk5rM1FBNkJpd0stNi1YMkZYWDZZQ2pnNzdObS13em5NZlZINlFIU0tHWFVhNjAwdm5CbHo5NGxHNXZId3NVUQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 06 Feb 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
